검색순위,데이터ID,데이터명,설명,키워드,수정일,조회수,다운로드,대분류,현재연구관련성,공식URL,공식존재여부,제공기관판정,데이터명판정,설명판정,키워드판정,수정일판정,종합검증판정,검증일,검증비고
1,15081297,사립학교교직원연금공단_전자도서 보유 현황,"사립학교교직원연금공단 전자도서 보유 현황과 관련된 데이터로 번호, 상품종류, 상품번호, 제목, 출판사명, 저자명, 대분류, 중분류, 상세분류, 주문 차수, 보유 종수 등의 항목을 제공합니다","전자도서,도서관,ebook,자료보유현황,도서목록,공공도서관,독서콘텐츠,온라인열람",2026-07-07,"1,822건","19,074건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081297/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
2,15065194,사립학교교직원연금공단_사학연금 통계연보,"사립학교교직원연금공단 통계연보와 관련된 데이터로 학교기관, 가입 교직원, 퇴직 교직원, 부담금(수입), 급여(지출), 대여사업, 자산운용, 기타 등의 항목을 제공합니다.","직역연금,통계,연보,연금통계,가입자현황,퇴직자현황,연금수급자현황,자산운용현황",2025-09-03,"15,771건",753건,법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15065194/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
3,15045816,사립학교교직원연금공단_사학연금수급자 현황(재직기간별 연령별 퇴직연금수급자),"사립학교교직원연금공단 사학연금수급자 현황 (재직기간별, 연령별 퇴직연금수급자) 데이터는 연금수급자 중 퇴직연금을 받는 수급자들의 수를 재직기간별(21년미만 ~ 33년 이상) 연령(50세","직역연금,연금수급자,연령별퇴직연금수급자,재직기간별 통계,연령별통계,수급자 정보",2026-07-08,"12,978건","2,897건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045816/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
4,15020810,사립학교교직원연금공단_지부 및 상담센터 운영 현황,사립학교교직원연금공단 지부 및 상담센터 운영 현황 데이터는 공단에서 운영중인 지부 및 상담센터에 대한 정보를 제공합니다.,"사학연금,지부,상담,콜센터,지역별 서비스,민원 안내,연금 상담,고객 지원",2026-06-23,"10,434건","1,632건",고객·디지털·VOC,보조검토,https://www.data.go.kr/data/15020810/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
5,15045813,사립학교교직원연금공단_사학연금수급자 평균연금월액(유족연금),"사립학교교직원연금공단 사학연금수급자 평균연금월액(유족연금) 데이터는 연금수급자 중에서 유족연금을 수급받는 사람들의 연령별 수와 평균연금월액을 교직원(교원, 사무직원) 항목으로 구분하여","연령별,성별,평균연급월액,연령별 통계,교직원별 통계,연금수급자,연금 통계",2026-07-08,"8,146건","1,589건",연금수급자,검토대상,https://www.data.go.kr/data/15045813/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
6,15081273,사립학교교직원연금공단_법령조항,사립학교교직원 연금법(이하 '사학연금법')상 퇴직급여 산정의 기초가 되는 조문 정보를 제공하고 있습니다.,"법령,조항,적용,퇴직연금 산식,급여산정,법률 정보",2026-07-16,"7,180건",968건,법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15081273/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
7,15065174,사립학교교직원연금공단_기준소득월액 상한액,"소득월액이란 일정기간 재직하고 얻은 소득에서 비과세소득을 제외한 금액의 연지급합계액을 12개월로 평균한 금액이며, 시작년월, 종료년월과 교직원의 연금및부담금기준소득월액, 교원상한가,","직원상한가,교원상한가,소득월액,비과세소득,시작년월,소득합계액",2026-06-24,"8,181건","1,437건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15065174/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
8,15045812,사립학교교직원연금공단_사학연금수급자 평균연금월액(퇴직연금),"사립학교교직원연금공단 사학연금수급자 평균연금월액(퇴직연금) 데이터는 연금수급자 중에서 퇴직연금을 수급받는 사람들의 연령별 수와 평균연금월액을 교직원(교원, 사무직원) 항목으로 구분하여","연령별,성별,평균연금월액,연금수급자,교직원별 통계,연금 통계",2026-06-24,"5,948건","1,622건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045812/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
9,15045820,사립학교교직원연금공단_사학연금수급자 현황(연도별 연금수급자 및 연금액),"사립학교교직원연금공단 사학연금수급자 현황(연도별 연금수급자 및 연금액) 데이터는 연금수급자의 현황을 나타내는 데이터로 연금 종류별(퇴직연금, 유족연금, 장해연금, 장해유족연금, 연게퇴직연금","연도별,연금별,평균연금액,연금종류별 통계,수급자 수,수급자 통계",2026-07-08,"6,912건","1,549건",연금수급자,검토대상,https://www.data.go.kr/data/15045820/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
10,15012436,사립학교교직원연금공단_교직원 퇴직급여 지급 현황,"사학연금 교직원 퇴직급여 지급 현황과 관련된 데이터로 연도, 급여종류별(퇴직연금,퇴직연금 공제일시금,퇴직연금 일시금,퇴직 일시금,연계연금) 건수와 금액정보 등의 항목을 제공합니다.","교직원,퇴직금,퇴직급여,지급현황,연금기금,급여 현황,연금 수급",2026-07-08,"6,798건","2,256건",퇴직·급여,검토대상,https://www.data.go.kr/data/15012436/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
11,15102549,사립학교교직원연금공단_연금수급자 연금수령기간 현황,사립학교교직원연금공단 연금수급자 연금수령기간 현황 데이터는 연금 수급자의 급여 종류별 연금 수령 기간을 구간별로 분류하여 제공합니다.,"수급자,연금수령,기간,급여종류별 수급자,수급기간 통계,급여 종류별 통계,연금 지급",2026-07-08,"6,235건",682건,연금수급자,검토대상,https://www.data.go.kr/data/15102549/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
12,15045873,사립학교교직원연금공단_제휴복지 서비스 현황,"사립학교교직원연금공단 제휴복지 서비스 현황과 관련된 데이터로 카테고리별 세부항목, 제휴업체 등 교직원이 받을 수 있는 제휴 복지 서비스 현황 정보를 제공하고 있습니다.","복지서비스,업체수,업체명,제휴복지,제휴현황,서비스목록",2026-07-07,"5,404건","1,477건",대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15045873/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
13,15045860,사립학교교직원연금공단_해외 대체투자 현황,"사립학교교직원연금기금의 해외 대체투자 현황(투자분야, 투자자산, 평가액, 투자처)에 관한 정보로 평가액 기준 상위 5개의 해외 대체투자 현황에 관한 자료입니다.","해외대체투자,기금운용,투자현황,평가액,투자처",2026-07-08,"5,312건","1,749건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15045860/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
14,15045817,사립학교교직원연금공단_사학연금수급자 현황(학교급별 직종별),"사립학교교직원연금공단 사학연금수급자 현황(학교급별, 직종별) 데이터는 재직기간에 따른 직종별 연금수급자 수를 제공합니다.","직역연금,교직원,수급자,학교급별 통계,직종별 통계,연단위 통계,연금 통계",2026-07-09,"4,953건","1,457건",연금수급자,검토대상,https://www.data.go.kr/data/15045817/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
15,15065012,사립학교교직원연금공단_연금부담률,"사립학교교직원연금공단 연금부담률과 관련된 데이터로 연도, 개인 연금부담금(%), 법인 연금부담금(%), 국가 연금부담금(%) 등의 항목을 제공합니다. 2020. 01. 01.","국가별,연도별,연금부담금,개인연금부담률,법인연금부담률,국가연금부담금,연금기금",2026-06-25,"4,287건","1,025건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15065012/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
16,15064973,사립학교교직원연금공단_용어사전,"사립학교교직원 연금제도 및 공적연금 제도 관련 ㄱ기관의 업무, 제도, 서비스 등과 관련된 주요 용어에 대한 정보를 제공하고 있습니다.","직역연금,용어별설명,영어번역,사학연금제도,가입자,퇴직급여,재해보상,전문용어",2025-08-25,"5,948건","1,292건",법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15064973/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
17,15065014,사립학교교직원연금공단_공공데이터 목록,"사립학교교직원연금공단 공공데이터 목록과 관련된 데이터로 순번, 목록명, 목록등록일, 목록수정일, 공공데이터설명, 키워드, 중점데이터, 구분, 유형, 기관명, 분류체계, 등록유형, 파일데이터등록일","목록,기관정보,공공데이터,공공 정보,데이터 개방,정보 목록,대국민 공개",2025-06-15,"4,092건","2,216건",법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15065014/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
18,15045826,사립학교교직원연금공단_국내 주식 투자 정보,"사립학교교직원연금공단 국내주식(직접운용) 상위5개 투자종목 현황과 관련된 데이터로 번호, 유가증권명, 평가기준일자, 평가금액(억 원), 투자비율(%)에 해당하는 정보를 제공합니다.","국내주식투자,주식,사학연금기금,주식투자,국내주식",2026-07-09,"5,304건","1,485건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15045826/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
19,15045821,사립학교교직원연금공단_사학연금수급자 현황(퇴직연금수급자 연금지급개시연령),"사립학교교직원연금공단 사학연금수급자 현황(퇴직연금수급자 연금지급개시연령)과 관련된 데이터는 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학교, 대학교, 특수학교, 법인),","직역연금,연금수급자,연금지급개시연령,학교급별통계,교직원별 통계,연령별통계,연금 통계",2026-07-09,"5,458건","1,244건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045821/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
20,15045862,사립학교교직원연금공단_국가부담금 현황,"사립학교교직원연금공단 연금기금에 포함된 국가부담금 현황과 관련된 데이터로 연도, 국가부담금, 국고보조금 등의 항목을 제공합니다.","국가부담금,국고보조금,직역연금,연금기금,연금부담액,기금운용,재정 안정성",2026-07-08,"4,251건","1,314건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15045862/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
21,15045818,사립학교교직원연금공단_사학연금수급자 현황(퇴직연금수급자 평균연금월액),"사립학교교직원연금공단 사학연금수급자 현황(퇴직연금수급자 평균연금월액) 데이터는 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학교, 대학교, 특수학교, 법인), 교직원별(교원","직역연금,연금수급자,평균연금월액,학교급별 통계,성별 통계,연령별 통계",2026-07-08,"4,813건","1,372건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045818/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
