복원_요청연월,신청구분코드,신청구분명,접수건수
2006-10-01,454,연금수급자정보변경,38
2006-11-01,454,연금수급자정보변경,37
2006-12-01,454,연금수급자정보변경,33
2007-01-01,454,연금수급자정보변경,44
2007-02-01,454,연금수급자정보변경,23
2007-03-01,454,연금수급자정보변경,31
2007-03-01,457,연금수급자신분변동,1
2007-04-01,454,연금수급자정보변경,16
2007-05-01,454,연금수급자정보변경,26
2007-06-01,454,연금수급자정보변경,22
2007-07-01,454,연금수급자정보변경,10
2007-08-01,454,연금수급자정보변경,13
2007-09-01,454,연금수급자정보변경,34
2007-10-01,454,연금수급자정보변경,12
2007-11-01,454,연금수급자정보변경,20
2007-12-01,454,연금수급자정보변경,16
2008-01-01,454,연금수급자정보변경,37
2008-01-01,457,연금수급자신분변동,1
2008-02-01,454,연금수급자정보변경,12
2008-03-01,454,연금수급자정보변경,44
2008-03-01,457,연금수급자신분변동,1
2008-04-01,454,연금수급자정보변경,25
2008-05-01,454,연금수급자정보변경,35
2008-06-01,454,연금수급자정보변경,22
2008-07-01,454,연금수급자정보변경,22
2008-08-01,454,연금수급자정보변경,17
2008-09-01,454,연금수급자정보변경,51
2008-10-01,454,연금수급자정보변경,25
2008-11-01,454,연금수급자정보변경,23
2008-12-01,454,연금수급자정보변경,18
2009-01-01,454,연금수급자정보변경,39
2009-02-01,454,연금수급자정보변경,26
2009-03-01,454,연금수급자정보변경,39
2009-04-01,454,연금수급자정보변경,26
2009-05-01,454,연금수급자정보변경,35
2009-06-01,454,연금수급자정보변경,26
2009-07-01,454,연금수급자정보변경,30
2009-08-01,454,연금수급자정보변경,22
2009-09-01,454,연금수급자정보변경,39
2009-10-01,454,연금수급자정보변경,19
2009-11-01,454,연금수급자정보변경,25
2009-12-01,454,연금수급자정보변경,53
2010-01-01,454,연금수급자정보변경,98
2010-01-01,457,연금수급자신분변동,1
2010-02-01,454,연금수급자정보변경,56
2010-03-01,454,연금수급자정보변경,113
2010-03-01,457,연금수급자신분변동,2
2010-04-01,454,연금수급자정보변경,50
2010-05-01,454,연금수급자정보변경,64
2010-06-01,454,연금수급자정보변경,43
2010-07-01,454,연금수급자정보변경,56
2010-07-01,459,연금수급증발급,12
2010-08-01,454,연금수급자정보변경,92
2010-08-01,459,연금수급증발급,63
2010-09-01,454,연금수급자정보변경,102
2010-09-01,459,연금수급증발급,56
2010-10-01,454,연금수급자정보변경,103
2010-10-01,457,연금수급자신분변동,1
2010-10-01,459,연금수급증발급,60
2010-11-01,454,연금수급자정보변경,72
2010-11-01,459,연금수급증발급,17
2010-12-01,454,연금수급자정보변경,212
2010-12-01,457,연금수급자신분변동,2
2010-12-01,459,연금수급증발급,19
2011-01-01,454,연금수급자정보변경,137
2011-01-01,457,연금수급자신분변동,2
2011-01-01,459,연금수급증발급,9
2011-02-01,454,연금수급자정보변경,126
2011-02-01,459,연금수급증발급,57
2011-03-01,454,연금수급자정보변경,182
2011-03-01,459,연금수급증발급,111
2011-04-01,454,연금수급자정보변경,113
2011-04-01,457,연금수급자신분변동,1
2011-04-01,459,연금수급증발급,109
2011-05-01,454,연금수급자정보변경,116
2011-05-01,457,연금수급자신분변동,1
2011-05-01,459,연금수급증발급,65
2011-06-01,454,연금수급자정보변경,78
2011-06-01,459,연금수급증발급,25
2011-07-01,454,연금수급자정보변경,86
2011-07-01,459,연금수급증발급,70
2011-08-01,454,연금수급자정보변경,94
2011-08-01,459,연금수급증발급,26
2011-09-01,454,연금수급자정보변경,147
2011-09-01,457,연금수급자신분변동,1
2011-09-01,459,연금수급증발급,135
2011-10-01,454,연금수급자정보변경,77
2011-10-01,457,연금수급자신분변동,1
2011-10-01,459,연금수급증발급,45
2011-11-01,454,연금수급자정보변경,80
2011-11-01,459,연금수급증발급,20
2011-12-01,454,연금수급자정보변경,137
2011-12-01,459,연금수급증발급,41
2012-01-01,454,연금수급자정보변경,139
2012-01-01,457,연금수급자신분변동,1
2012-01-01,459,연금수급증발급,23
2012-02-01,454,연금수급자정보변경,83
2012-02-01,457,연금수급자신분변동,2
2012-02-01,459,연금수급증발급,16
2012-03-01,454,연금수급자정보변경,135
2012-03-01,457,연금수급자신분변동,2
2012-03-01,459,연금수급증발급,49
2012-04-01,454,연금수급자정보변경,89
2012-04-01,459,연금수급증발급,47
2012-05-01,454,연금수급자정보변경,89
2012-05-01,459,연금수급증발급,37
2012-06-01,454,연금수급자정보변경,56
2012-06-01,459,연금수급증발급,15
2012-07-01,454,연금수급자정보변경,78
2012-07-01,459,연금수급증발급,10
2012-08-01,454,연금수급자정보변경,101
2012-08-01,459,연금수급증발급,8
2012-09-01,454,연금수급자정보변경,115
2012-09-01,457,연금수급자신분변동,1
2012-09-01,459,연금수급증발급,19
2012-10-01,454,연금수급자정보변경,69
2012-10-01,459,연금수급증발급,15
2012-11-01,454,연금수급자정보변경,368
2012-11-01,459,연금수급증발급,15
2012-12-01,454,연금수급자정보변경,147
2012-12-01,459,연금수급증발급,23
2013-01-01,454,연금수급자정보변경,122
2013-01-01,459,연금수급증발급,22
2013-02-01,454,연금수급자정보변경,70
2013-02-01,459,연금수급증발급,4
2013-03-01,454,연금수급자정보변경,167
2013-03-01,459,연금수급증발급,41
2013-04-01,454,연금수급자정보변경,96
2013-04-01,457,연금수급자신분변동,1
2013-04-01,459,연금수급증발급,24
2013-04-01,460,연금정지추가공제신청,1
2013-05-01,454,연금수급자정보변경,97
2013-05-01,459,연금수급증발급,14
2013-05-01,460,연금정지추가공제신청,5
2013-06-01,454,연금수급자정보변경,82
2013-06-01,459,연금수급증발급,14
2013-06-01,460,연금정지추가공제신청,1
2013-07-01,454,연금수급자정보변경,76
2013-07-01,457,연금수급자신분변동,1
2013-07-01,459,연금수급증발급,7
2013-07-01,460,연금정지추가공제신청,8
2013-08-01,454,연금수급자정보변경,77
2013-08-01,457,연금수급자신분변동,1
2013-08-01,459,연금수급증발급,13
2013-09-01,454,연금수급자정보변경,146
2013-09-01,459,연금수급증발급,17
2013-09-01,460,연금정지추가공제신청,4
2013-10-01,454,연금수급자정보변경,87
2013-10-01,460,연금정지추가공제신청,2
2013-11-01,454,연금수급자정보변경,106
2013-11-01,460,연금정지추가공제신청,3
2013-12-01,454,연금수급자정보변경,169
2013-12-01,460,연금정지추가공제신청,14
2014-01-01,454,연금수급자정보변경,234
2014-01-01,460,연금정지추가공제신청,19
2014-02-01,454,연금수급자정보변경,130
2014-02-01,460,연금정지추가공제신청,1
2014-03-01,454,연금수급자정보변경,188
2014-03-01,459,연금수급증발급,28
2014-03-01,460,연금정지추가공제신청,3
2014-03-01,999,미구분,1
2014-04-01,453,청산일시금,1
2014-04-01,454,연금수급자정보변경,10
2014-04-01,459,연금수급증발급,24
2014-04-01,999,미구분,5
2014-05-01,454,연금수급자정보변경,4
2014-05-01,459,연금수급증발급,19
2014-05-01,999,미구분,5
2014-06-01,454,연금수급자정보변경,15
2014-06-01,459,연금수급증발급,9
2014-06-01,999,미구분,1
2014-07-01,454,연금수급자정보변경,8
2014-07-01,459,연금수급증발급,12
2014-08-01,454,연금수급자정보변경,8
2014-08-01,459,연금수급증발급,24
2014-08-01,999,미구분,1
2014-09-01,454,연금수급자정보변경,24
2014-09-01,459,연금수급증발급,55
2014-09-01,999,미구분,14
2014-10-01,454,연금수급자정보변경,28
2014-10-01,459,연금수급증발급,29
2014-10-01,999,미구분,3
2014-11-01,454,연금수급자정보변경,11
2014-11-01,457,연금수급자신분변동,2
2014-11-01,459,연금수급증발급,10
2014-11-01,999,미구분,2
2014-12-01,454,연금수급자정보변경,11
2014-12-01,457,연금수급자신분변동,1
2014-12-01,459,연금수급증발급,19
2014-12-01,999,미구분,14
2015-01-01,454,연금수급자정보변경,15
2015-01-01,458,연금지급정지조정신청,1
2015-01-01,459,연금수급증발급,29
2015-01-01,999,미구분,15
2015-02-01,454,연금수급자정보변경,7
2015-02-01,457,연금수급자신분변동,1
2015-02-01,458,연금지급정지조정신청,1
2015-02-01,459,연금수급증발급,18
2015-02-01,999,미구분,1
2015-03-01,454,연금수급자정보변경,39
2015-03-01,459,연금수급증발급,87
2015-03-01,999,미구분,15
2015-04-01,454,연금수급자정보변경,23
2015-04-01,459,연금수급증발급,39
2015-04-01,999,미구분,4
2015-05-01,454,연금수급자정보변경,4
2015-05-01,459,연금수급증발급,16
2015-05-01,999,미구분,1
2015-06-01,454,연금수급자정보변경,9
2015-06-01,459,연금수급증발급,24
2015-06-01,999,미구분,1
2015-07-01,454,연금수급자정보변경,13
2015-07-01,457,연금수급자신분변동,1
2015-07-01,459,연금수급증발급,13
2015-07-01,999,미구분,3
2015-08-01,454,연금수급자정보변경,9
2015-08-01,459,연금수급증발급,20
2015-09-01,454,연금수급자정보변경,19
2015-09-01,459,연금수급증발급,49
2015-09-01,999,미구분,1
2015-10-01,454,연금수급자정보변경,14
