데이터ID,파일명,행수,열수,sha256
15012436,15012436.csv,9,11,f19149ecadbd902d1eefa491d612b89091073136268edfb80f0e904c57a5d950
15045815,15045815.csv,42,17,7ceded19a7e1dc50b41987a030498c55de337faf87add1858613772d0d740806
15045816,15045816.csv,42,15,ca0fdbc6e9397f4b03855bbeb417ee14099c031e135ea83c22c67996918ae5b0
15064966,15064966.csv,15,6,8816c14f60912cd4c4850640272c3280dabe29612fec5e7187d44281ab69e26c
15065011,15065011.csv,77,3,d53c54698f57ff14a911ade842ff6101a47b2ed6b9d30a2bded71d168f2cdb31
15102547,15102547.csv,9,6,3e810474bf6ae2b082b0487cf5cf8e7a407a2dd521c1d352731d19f23ad33107
15102549,15102549.csv,10,7,d0f338330f0846799cde7d58dc5a05e281f0b148d14afb19370d608b43ca8798
15102551,15102551.csv,71,5,9ee18c277701a57eba1a4bd5526037bd1b5fbc4661b33ea217a91e76a2e50dfe
15119216,15119216.csv,18,3,7eb04cb44ff572eb62e6437dc105e0183c76b1879207935a7e248840ad91fded
15119221,15119221.csv,18,3,05cc0bd74ca26fd44f24567442a8337ef1d25289d0c3371fa1eb227a835deacb
15124513,15124513.csv,144,7,40747e7de262ca3ec42ccfb2ac0e5bbef4754bab2402f64ec65c3477fcb20b61
15131716,15131716.csv,30,5,1d2afdce61178e932df1abaf7e0d4cd109a1f710005958403115e15894560a24
15133677,15133677.csv,7,17,4ae25024320c2fbe0699baeb8eca85ba830e7b51e49cdfebffe315138fefb9e6
15151198,15151198.csv,650,4,0a7904a17d97ddcbe1d63200345545a02fc8d2368c38e00f96610ae69211846a
15151262,15151262.csv,650,8,9f66e5116aed40c93f095c767505177ce65138afdfdbcc2622e8924f5358d571
