기준연월,가입인원수,신규가입인원수,복원_기준연월
2025-01-20,434761,2870,2020-01-01
2025-01-21,465901,2850,2021-01-01
2025-01-22,496238,3642,2022-01-01
2025-01-23,531455,3598,2023-01-01
2025-01-24,567586,3626,2024-01-01
2025-01-25,604688,2704,2025-01-01
2025-01-26,632317,2557,2026-01-01
2025-02-20,437845,3084,2020-02-01
2025-02-21,468469,2568,2021-02-01
2025-02-22,499334,3096,2022-02-01
2025-02-23,534749,3294,2023-02-01
2025-02-24,570647,3061,2024-02-01
2025-02-25,607147,2459,2025-02-01
2025-02-26,634255,1938,2026-02-01
2025-03-20,443268,5423,2020-03-01
2025-03-21,472663,4194,2021-03-01
2025-03-22,504170,4836,2022-03-01
2025-03-23,539762,5013,2023-03-01
2025-03-24,575599,4952,2024-03-01
2025-03-25,610813,3666,2025-03-01
2025-03-26,637487,3232,2026-03-01
2025-04-20,446441,3173,2020-04-01
2025-04-21,475306,2643,2021-04-01
2025-04-22,508142,3972,2022-04-01
2025-04-23,543370,3608,2023-04-01
2025-04-24,578789,3190,2024-04-01
2025-04-25,613669,2856,2025-04-01
2025-04-26,640003,2516,2026-04-01
2025-05-20,448911,2470,2020-05-01
2025-05-21,477245,1939,2021-05-01
2025-05-22,510880,2738,2022-05-01
2025-05-23,545884,2514,2023-05-01
2025-05-24,581692,2903,2024-05-01
2025-05-25,615809,2140,2025-05-01
2025-05-26,642014,2011,2026-05-01
2025-06-20,451150,2239,2020-06-01
2025-06-21,479202,1957,2021-06-01
2025-06-22,513130,2250,2022-06-01
2025-06-23,548285,2401,2023-06-01
2025-06-24,584126,2434,2024-06-01
2025-06-25,617784,1975,2025-06-01
2025-07-20,453426,2276,2020-07-01
2025-07-21,481368,2166,2021-07-01
2025-07-22,515729,2599,2022-07-01
2025-07-23,551127,2842,2023-07-01
2025-07-24,587357,3231,2024-07-01
2025-07-25,619733,1949,2025-07-01
2025-08-20,455288,1862,2020-08-01
2025-08-21,483620,2252,2021-08-01
2025-08-22,518240,2511,2022-08-01
2025-08-23,553677,2550,2023-08-01
2025-08-24,592356,4999,2024-08-01
2025-08-25,621801,2068,2025-08-01
2025-09-20,457206,1918,2020-09-01
2025-09-21,485420,1800,2021-09-01
2025-09-22,520662,2422,2022-09-01
2025-09-23,556610,2933,2023-09-01
2025-09-24,595325,2969,2024-09-01
2025-09-25,623969,2168,2025-09-01
2025-10-20,458947,1741,2020-10-01
2025-10-21,487773,2353,2021-10-01
2025-10-22,523228,2566,2022-10-01
2025-10-23,559052,2442,2023-10-01
2025-10-24,597564,2239,2024-10-01
2025-10-25,625812,1843,2025-10-01
2025-11-20,460900,1953,2020-11-01
2025-11-21,489896,2123,2021-11-01
2025-11-22,525561,2333,2022-11-01
2025-11-23,561558,2506,2023-11-01
2025-11-24,599504,1940,2024-11-01
2025-11-25,627814,2002,2025-11-01
2025-12-20,463051,2151,2020-12-01
2025-12-21,492596,2700,2021-12-01
2025-12-22,527857,2296,2022-12-01
2025-12-23,563960,2402,2023-12-01
2025-12-24,601984,2480,2024-12-01
2025-12-25,629760,1946,2025-12-01
