제안데이터명,필드순서,필드명,한글명,역할,자료형,형식_코드규칙,필수여부,도입단계,제안근거,보호_품질주의
연령대·채널·인증방법별 홈페이지 인증현황,1,base_ym,기준연월,차원,문자열,YYYY-MM,필수,2단계,월별 변화·현행화,일 단위보다 월 단위 우선
연령대·채널·인증방법별 홈페이지 인증현황,2,user_group,이용자구분,차원,범주,재직자|수급자|기타·미분류,필수,2단계,집단별 이용 차이,개인 신분·기관명 공개 금지
연령대·채널·인증방법별 홈페이지 인증현황,3,age_band,연령대,차원,범주,40세미만|40대|50대|60대|70대|80세이상|미상,필수,2단계,담당자 연령별 제안,정확한 나이·생년월일 금지; 희소범주 통합
연령대·채널·인증방법별 홈페이지 인증현황,4,access_channel,접속채널,차원,범주,PC웹|모바일웹|앱|기타·미상,필수,2단계,담당자 PC/모바일 제안,기기ID·IP·브라우저 지문 금지
연령대·채널·인증방법별 홈페이지 인증현황,5,auth_method,인증방법,차원,범주,간편인증|금융인증서|공동인증서|ID·비밀번호|기타·미상|해당없음,필수,2단계,담당자 인증방법 제안,인증서 식별값·계정ID 금지
연령대·채널·인증방법별 홈페이지 인증현황,6,access_count,접속건수,측정값,정수,0 이상,필수,2단계,PC/모바일 접속 규모,공개 셀은 억제규칙 적용
연령대·채널·인증방법별 홈페이지 인증현황,7,auth_attempt_count,인증시도건수,측정값,정수,0 이상,필수,2단계,인증 퍼널 분모,중복시도 정의 명시
연령대·채널·인증방법별 홈페이지 인증현황,8,auth_success_count,인증성공건수,측정값,정수,0 이상,필수,2단계,인증성공률,성공+실패와 시도 합계 검증
연령대·채널·인증방법별 홈페이지 인증현황,9,auth_failure_count,인증실패건수,측정값,정수,0 이상,필수,2단계,담당자 인증실패 제안,성공+실패와 시도 합계 검증
연령대·채널·인증방법별 홈페이지 인증현황,10,password_reset_count,비밀번호재설정건수,측정값,정수,0 이상,필수,2단계,비밀번호 분실 지원,ID·비밀번호 인증에만 적용 여부 명시
연령대·채널·인증방법별 홈페이지 인증현황,11,alimtalk_target_count,인증알림톡대상건수,측정값,정수,0 이상,권장,2단계,발송률 분모,전화번호·메시지 내용 공개 금지
