연도,신청구분코드,신청구분명,접수건수
2006,454,연금수급자정보변경,108
2007,454,연금수급자정보변경,267
2007,457,연금수급자신분변동,1
2008,454,연금수급자정보변경,331
2008,457,연금수급자신분변동,2
2009,454,연금수급자정보변경,379
2010,454,연금수급자정보변경,1061
2010,457,연금수급자신분변동,6
2010,459,연금수급증발급,227
2011,454,연금수급자정보변경,1373
2011,457,연금수급자신분변동,6
2011,459,연금수급증발급,713
2012,454,연금수급자정보변경,1469
2012,457,연금수급자신분변동,6
2012,459,연금수급증발급,277
2013,454,연금수급자정보변경,1295
2013,457,연금수급자신분변동,3
2013,459,연금수급증발급,156
2013,460,연금정지추가공제신청,38
2014,453,청산일시금,1
2014,454,연금수급자정보변경,671
2014,457,연금수급자신분변동,3
2014,459,연금수급증발급,229
2014,460,연금정지추가공제신청,23
2014,999,미구분,46
2015,454,연금수급자정보변경,166
2015,457,연금수급자신분변동,2
2015,458,연금지급정지조정신청,2
2015,459,연금수급증발급,354
2015,999,미구분,114
2016,454,연금수급자정보변경,163
2016,457,연금수급자신분변동,2
2016,458,연금지급정지조정신청,2
2016,459,연금수급증발급,242
2016,999,미구분,98
2017,453,청산일시금,1
2017,454,연금수급자정보변경,176
2017,458,연금지급정지조정신청,6
2017,459,연금수급증발급,258
2017,999,미구분,58
2018,453,청산일시금,1
2018,454,연금수급자정보변경,230
2018,457,연금수급자신분변동,2
2018,458,연금지급정지조정신청,7
2018,459,연금수급증발급,341
2018,999,미구분,192
2019,454,연금수급자정보변경,265
2019,457,연금수급자신분변동,8
2019,459,연금수급증발급,382
2019,999,미구분,191
2020,454,연금수급자정보변경,358
2020,457,연금수급자신분변동,1
2020,459,연금수급증발급,381
2020,999,미구분,237
2021,454,연금수급자정보변경,365
2021,457,연금수급자신분변동,5
2021,459,연금수급증발급,334
2021,999,미구분,219
2022,453,청산일시금,1
2022,454,연금수급자정보변경,486
2022,457,연금수급자신분변동,15
2022,459,연금수급증발급,313
2022,999,미구분,373
2023,454,연금수급자정보변경,701
2023,457,연금수급자신분변동,18
2023,459,연금수급증발급,316
2023,999,미구분,354
2024,453,청산일시금,3
2024,454,연금수급자정보변경,834
2024,457,연금수급자신분변동,17
2024,459,연금수급증발급,318
2024,999,미구분,238
2025,454,연금수급자정보변경,923
2025,457,연금수급자신분변동,19
2025,459,연금수급증발급,288
2025,999,미구분,122
2026,453,청산일시금,1
2026,454,연금수급자정보변경,429
2026,457,연금수급자신분변동,13
2026,459,연금수급증발급,132
