연도,교원_퇴직자수,사무직원_퇴직자수,전체_퇴직자수,퇴직연금수급자수,수급자_순증,수급자_증감률_pct,퇴직연금_평균연금액_원
1997,6091,6276,12367,4997,,,1365170
1998,7404,6664,14068,5863,866.0,17.330398238943356,1351000
1999,12045,8039,20084,9908,4045.0,68.99198362612997,1346800
2000,11797,8275,20072,12626,2718.0,27.432377876463466,1398720
2001,9881,7838,17719,13708,1082.0,8.569618248059552,1444350
2002,11380,7660,19040,14924,1216.0,8.870732419025384,1539660
2003,11964,7802,19766,16542,1618.0,10.84159742696329,1803990
2004,12290,7117,19407,18444,1902.0,11.498005077983308,1904880
2005,13110,7413,20523,20412,1968.0,10.6701366297983,1999670
2006,14256,7673,21929,22638,2226.0,10.905349794238672,2089270
2007,16045,8558,24603,25459,2821.0,12.46134817563389,2175180
2008,17388,8868,26256,28672,3213.0,12.620291448996435,2263700
2009,17362,8023,25385,31176,2504.0,8.73325892857142,2333180
2010,19039,9341,28380,34047,2871.0,9.20900692840647,2410090
2011,18206,9259,27465,36849,2802.0,8.229799982377294,2500430
2012,12815,17529,30344,40116,3267.0,8.865912236424322,2618030
2013,11727,9865,21592,43697,3581.0,8.92661282281384,2692910
2014,12001,10080,22081,47782,4085.0,9.348467858205378,2749300
2015,13457,10482,23939,53170,5388.0,11.27621279979909,2817210
2016,13618,11049,24667,57084,3914.0,7.361293962760951,2826720
2017,16590,13662,30252,61692,4608.0,8.07231448391843,2845480
2018,18380,15694,34074,67607,5915.0,9.587953057122478,2859260
2019,19054,15618,34672,73832,6225.0,9.20762642921591,2873790
2020,17620,15479,33099,80594,6762.0,9.158630404160807,2892131
2021,16837,16659,33496,87273,6679.0,8.287217410725356,2935580
2022,17501,17905,35406,94086,6813.0,7.806538104568417,2994830
2023,16795,16487,33282,99389,5303.0,5.636332716876047,3159820
2024,15919,21386,37305,105766,6377.0,6.4162030003320325,3257510
2025,14789,12706,27495,111389,5623.0,5.316453302573598,3318230
