연령,유치원 교원(명),유치원 사무직원(명),초등학교 교원(명),초등학교 사무직원(명),중학교 교원(명),중학교 사무직원(명),고등학교 교원(명),고등학교 사무직원(명),전문대학 교원(명),전문대학 사무직원(명),대학 교원(명),대학 사무직원(명),특수학교 교원(명),특수학교 사무직원(명),학교경영기관 교원(명),학교경영기관 사무직원(명)
50세 미만,0,0,0,1,0,0,6,1,2,10,17,26,0,1,0,0
51세 미만,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0
52세 미만,0,0,0,0,0,0,1,1,1,1,1,9,0,0,0,0
53세 미만,0,0,0,0,0,1,1,4,3,5,2,24,0,2,0,0
54세 미만,0,1,0,0,1,2,0,4,3,3,6,52,0,1,0,2
55세 미만,0,0,0,1,2,3,6,11,1,12,5,106,0,0,0,0
56세 미만,1,4,0,0,7,7,29,15,7,29,12,187,1,1,0,1
57세 미만,1,0,6,1,36,8,77,12,11,37,14,324,8,2,0,1
58세 미만,5,3,6,1,77,8,172,24,17,37,16,445,27,4,0,6
59세 미만,12,3,12,1,155,9,337,29,22,61,35,617,20,5,0,4
60세 미만,7,4,11,3,197,13,456,28,38,71,39,595,33,1,0,4
61세 미만,33,10,13,6,285,29,761,81,80,108,104,"1,099",54,16,0,4
62세 미만,48,21,15,3,401,44,"1,052",144,151,112,163,"1,441",80,24,0,21
63세 미만,80,34,25,4,748,56,"1,939",164,157,130,213,"1,575",105,28,0,20
64세 미만,108,50,35,12,"1,012",67,"2,872",188,233,122,268,"1,583",94,30,0,20
65세 미만,106,43,48,15,"1,070",68,"2,968",192,234,141,343,"1,490",92,30,0,19
66세 미만,94,48,46,10,934,76,"2,640",176,528,127,"1,619","1,490",79,32,0,17
67세 미만,84,33,35,15,755,67,"2,181",194,627,149,"2,122","1,328",72,31,0,21
68세 미만,83,35,25,9,750,86,"1,897",175,597,117,"2,088","1,225",53,20,0,15
69세 미만,64,22,24,19,814,58,"1,998",177,530,127,"2,187","1,236",44,32,0,6
70세 미만,54,16,29,8,703,69,"1,684",172,492,112,"1,825","1,081",36,28,0,19
71세 미만,56,3,57,8,718,55,"1,787",146,488,84,"1,891",979,41,9,0,23
72세 미만,45,1,40,13,597,51,"1,458",129,413,82,"1,498",773,30,16,0,11
73세 미만,25,1,41,4,528,38,"1,219",120,332,58,"1,380",624,36,9,0,17
74세 미만,25,1,50,8,483,43,"1,116",142,300,49,"1,244",684,20,7,0,14
75세 미만,13,1,21,4,295,29,741,106,188,44,689,368,15,7,0,13
76세 미만,24,0,26,4,314,33,690,104,207,46,724,422,9,5,0,10
77세 미만,25,1,15,1,302,40,722,96,167,45,705,448,11,5,0,9
78세 미만,23,0,13,6,352,40,629,88,149,47,692,389,9,5,0,12
79세 미만,15,3,17,2,338,49,713,102,166,42,642,380,17,2,0,17
80세 미만,8,3,12,10,311,30,580,91,128,29,549,293,7,1,0,12
81세 미만,11,2,7,3,278,26,515,75,134,30,454,270,2,1,0,8
82세 미만,8,1,8,2,224,27,492,66,109,23,427,213,8,1,0,11
83세 미만,4,1,12,5,209,25,428,58,92,34,385,206,5,0,0,12
84세 미만,4,0,17,1,276,28,472,52,109,17,367,205,6,0,0,15
85세 미만,10,1,12,4,230,20,377,35,73,13,372,157,4,1,0,7
86세 미만,6,0,19,2,203,11,291,32,53,11,296,108,3,1,0,6
87세 미만,2,0,8,0,168,12,228,31,56,10,264,86,2,0,0,8
88세 미만,1,0,12,2,121,5,186,30,48,7,209,46,5,0,0,9
89세 미만,2,0,8,0,106,6,178,7,23,3,178,60,2,1,0,2
90세 미만,1,0,5,0,96,5,137,8,31,4,140,47,2,0,0,5
90세 이상,3,0,24,0,238,7,326,31,30,7,397,100,4,0,0,8
