연령,21년미만,22년미만,23년미만,24년미만,25년미만,26년미만,27년미만,28년미만,29년미만,30년미만,31년미만,32년미만,33년미만,33년이상
50세 미만,50,0,4,2,1,1,0,0,0,0,0,0,0,1
51세 미만,11,0,0,2,0,2,0,0,0,0,0,0,0,0
52세 미만,8,1,0,1,0,0,0,0,0,0,0,0,0,0
53세 미만,5,1,0,0,0,0,0,0,0,0,0,1,8,4
54세 미만,11,0,1,0,0,1,3,1,0,0,3,5,20,8
55세 미만,13,1,3,0,0,0,0,0,0,5,7,11,23,19
56세 미만,6,7,5,5,4,6,3,4,3,4,16,20,38,53
57세 미만,47,9,10,8,4,6,6,9,11,3,22,38,70,135
58세 미만,46,25,14,18,18,12,5,14,16,18,46,75,115,233
59세 미만,55,23,21,24,16,19,28,14,24,40,61,104,158,398
60세 미만,77,30,28,26,30,37,42,37,49,48,111,137,177,654
61세 미만,101,33,30,33,27,34,35,52,48,80,125,156,189,843
62세 미만,326,44,58,56,73,53,69,95,103,114,166,214,257,1669
63세 미만,442,74,75,82,81,87,99,123,133,167,228,253,302,2131
64세 미만,603,73,83,89,85,112,142,150,185,206,265,292,362,3087
65세 미만,619,89,92,121,129,132,149,179,207,241,297,382,432,3705
66세 미만,649,106,125,146,150,172,193,241,245,259,360,398,458,3847
67세 미만,913,137,163,167,178,249,247,259,361,375,475,502,585,4072
68세 미만,851,134,145,173,184,232,228,274,280,387,389,481,540,3435
69세 미만,732,150,128,161,159,198,226,252,295,375,400,400,484,3246
70세 미만,708,126,139,178,157,198,238,290,309,322,427,404,439,3435
71세 미만,565,162,158,138,134,184,204,210,263,290,286,307,398,3060
72세 미만,445,129,146,143,143,195,196,237,238,259,303,326,369,3241
73세 미만,314,115,127,128,123,163,200,169,165,184,237,240,296,2718
74세 미만,252,98,93,120,120,139,139,138,169,152,215,200,262,2356
75세 미만,234,100,111,124,130,131,130,102,162,145,200,208,261,2166
76세 미만,123,60,68,57,84,69,87,76,83,91,112,97,150,1398
77세 미만,109,68,72,77,75,83,85,83,80,75,111,121,140,1465
78세 미만,85,72,56,65,83,108,95,89,98,104,110,127,144,1378
79세 미만,91,67,55,81,72,81,59,77,105,75,109,134,143,1331
80세 미만,79,48,70,85,75,78,66,88,95,105,129,122,162,1335
81세 미만,60,49,42,51,49,50,63,70,88,111,99,96,149,1114
82세 미만,68,42,39,49,45,42,47,65,68,80,98,92,105,1002
83세 미만,43,41,43,38,48,48,53,55,58,65,85,100,101,869
84세 미만,61,36,38,44,40,56,56,56,54,76,74,84,102,742
85세 미만,47,32,47,48,40,41,69,66,68,83,78,138,136,707
86세 미만,39,35,29,35,52,36,64,64,55,86,75,97,102,597
87세 미만,23,24,18,35,31,34,32,50,43,61,64,60,85,513
88세 미만,20,19,15,28,28,30,34,38,37,57,55,64,63,412
89세 미만,25,16,16,22,25,24,25,32,27,34,42,40,46,334
90세 미만,18,12,15,22,17,6,25,31,20,34,34,35,26,310
90세 이상,54,28,42,37,55,53,53,63,72,70,90,88,107,976
