연도,가입자 수,퇴직연금 수급자,유족연금 수급자,연계연금 수급자
2025,332127,114115,12829,2806
2026,332004,119105,13030,2834
2027,331964,124032,13328,2875
2028,332173,128926,13705,2899
2029,331322,133273,14154,2971
2030,332037,137867,14663,3048
2031,332948,141933,15227,3140
2032,333855,146389,15835,3252
2033,334860,149467,16482,3269
2034,335950,153694,17160,3398
2035,337044,157672,17855,3540
2036,338607,162034,18570,3699
2037,339776,164954,19294,3876
2038,340624,168976,20037,4067
2039,340611,173314,20797,4271
2040,340739,177593,21574,4476
2041,340749,181638,22365,4684
2042,340163,185610,23172,4894
2043,339687,189123,23999,5105
2044,339478,193504,24849,5318
2045,339699,197447,25714,5535
2046,339820,201175,26587,5757
2047,339886,204716,27417,5986
2048,340080,207673,28167,6220
2049,340199,210004,28804,6464
2050,339980,212409,29305,6727
2051,339634,214604,29675,7014
2052,339062,216590,29906,7333
2053,338231,218486,29951,7700
2054,337126,220537,29810,8124
2055,336045,223018,29425,8617
2056,334897,226425,28878,9201
2057,333680,229927,28209,9885
2058,332559,233591,27432,10678
2059,331060,237374,26659,11624
2060,329236,241290,25887,12749
2061,327299,245160,25161,14070
2062,325200,248949,24449,15648
2063,322992,252396,23724,17443
2064,320583,255735,23035,19510
2065,318162,259082,22398,21893
2066,315690,261723,21846,24410
2067,313018,264563,21348,27261
2068,310211,267129,20889,30252
2069,307310,269544,20460,33353
2070,304333,271877,20023,36596
2071,301360,274097,19605,39958
2072,298393,276311,19214,43441
2073,295492,278397,18871,47010
2074,292394,280403,18553,50619
2075,289302,282356,18271,54233
2076,286302,284232,18012,57820
2077,283107,285976,17783,61359
2078,279850,287646,17575,64846
2079,276558,288983,17419,68262
2080,273257,290215,17284,71598
2081,269968,291276,17180,74853
2082,266684,292119,17061,78029
2083,263436,292815,16962,81126
2084,260099,293342,16881,84129
2085,256710,293600,16823,87041
2086,253403,293676,16769,89869
2087,250072,293568,16708,92606
2088,246705,293283,16624,95229
2089,243254,292800,16529,97721
2090,239821,292098,16425,100069
2091,236398,291141,16305,102254
2092,232946,290126,16164,104267
2093,229477,289023,16000,106089
2094,226008,287848,15814,107704
2095,224109,286619,15624,109108
