연월,가입자관리,급여,대여,재해보상,연금연계,기타
2013-01,398,818,637,97,56,88
2013-02,347,808,887,104,55,72
2013-03,572,1169,603,127,49,192
2013-04,423,797,530,126,44,222
2013-05,384,633,525,112,51,115
2013-06,462,494,452,110,39,127
2013-07,383,612,476,108,45,144
2013-08,284,514,646,48,37,37
2013-09,305,495,436,73,31,158
2013-10,325,522,660,80,50,86
2013-11,360,517,474,30,61,139
2013-12,321,807,546,59,54,65
2014-01,342,630,568,71,79,86
2014-02,416,799,971,53,50,88
2014-03,684,965,807,53,68,97
2014-04,471,547,647,56,46,74
2014-05,375,587,570,69,42,81
2014-06,597,386,520,65,47,92
2014-07,452,468,606,49,34,141
2014-08,351,448,677,37,45,78
2014-09,325,485,480,21,30,67
2014-10,327,416,483,52,52,102
2014-11,288,365,390,59,26,67
2014-12,299,372,501,14,25,64
2015-01,243,613,715,23,44,53
2015-02,235,570,690,20,42,30
2015-03,395,828,487,9,46,45
2015-04,401,636,429,6,52,41
2015-05,350,530,417,11,44,34
2015-06,477,522,386,29,32,25
2015-07,400,502,440,23,84,52
2015-08,340,719,725,28,71,42
2015-09,448,751,512,5,79,58
2015-10,347,810,464,6,89,59
2015-11,421,805,160,3,68,127
2015-12,483,619,178,5,52,37
2016-01,311,591,479,6,44,51
2016-02,259,697,395,3,44,50
2016-03,492,769,258,8,50,28
2016-04,347,422,199,3,33,39
2016-05,411,438,236,3,27,34
2016-06,527,396,259,4,61,32
2016-07,318,484,258,5,54,40
2016-08,296,516,433,4,41,58
2016-09,325,577,287,1,37,62
2016-10,304,444,320,4,37,72
2016-11,305,404,326,4,44,40
2016-12,360,439,374,4,35,53
2017-01,304,514,273,4,47,41
2017-02,291,490,296,7,46,28
2017-03,234,457,159,2,36,38
2017-04,91,171,61,6,10,16
2017-05,76,165,53,4,16,11
2017-06,52,122,63,2,17,13
2017-07,68,138,62,3,18,11
2017-08,65,178,117,2,22,14
2017-09,65,199,67,3,18,18
2017-10,50,117,76,1,27,7
2017-11,46,172,95,1,25,5
2017-12,41,180,66,4,22,8
2018-01,81,238,78,1,40,16
2018-02,69,238,89,2,9,20
2018-03,110,362,64,4,37,16
2018-04,73,176,62,2,23,10
2018-05,57,154,39,1,15,14
2018-06,37,114,36,1,16,13
2018-07,61,134,45,2,25,13
2018-08,66,191,73,6,30,15
2018-09,43,119,34,3,30,23
2018-10,59,145,48,8,19,10
2018-11,51,131,41,7,38,17
2018-12,40,132,27,5,22,6
2019-01,71,182,70,2,37,20
2019-02,55,196,78,1,20,16
2019-03,89,292,50,4,40,18
2019-04,66,155,49,0,32,9
2019-05,73,116,24,0,22,15
2019-06,37,93,41,0,16,6
2019-07,73,138,92,6,22,12
2019-08,50,169,72,3,21,11
2019-09,64,155,65,2,23,16
2019-10,80,198,76,3,33,24
2019-11,77,176,82,3,21,8
2019-12,87,181,62,4,46,13
2020-01,76,227,116,2,39,21
2020-02,74,224,130,1,40,12
2020-03,130,285,88,1,76,23
2020-04,98,147,63,3,43,15
2020-05,81,163,68,1,50,18
2020-06,69,138,87,4,44,11
2020-07,56,139,100,4,40,5
2020-08,43,141,136,3,87,6
2020-09,51,181,82,4,218,13
2020-10,53,150,97,1,224,14
2020-11,42,134,68,1,280,17
2020-12,40,185,60,4,234,3
2021-01,55,236,80,2,212,20
2021-02,46,179,89,3,222,20
2021-03,106,420,76,7,505,58
2021-04,77,277,51,8,330,14
2021-05,41,228,53,4,226,20
2021-06,52,164,65,1,241,16
2021-07,48,148,87,1,274,31
2021-08,46,145,88,1,212,48
2021-09,32,96,63,4,251,11
2021-10,28,133,43,4,209,15
2021-11,40,93,63,4,14,16
2021-12,59,229,97,1,94,23
2022-01,78,199,120,2,180,15
2022-02,82,234,133,4,261,7
2022-03,169,338,93,2,92,20
2022-04,102,312,92,3,207,9
2022-05,66,213,116,1,55,9
2022-06,68,175,84,4,46,5
2022-07,62,173,78,5,39,9
2022-08,56,121,53,5,15,15
2022-09,62,121,81,4,24,16
2022-10,66,156,40,3,52,11
2022-11,63,213,73,4,66,9
2022-12,40,142,17,7,31,20
2023-01,50,119,61,0,44,10
2023-02,42,98,37,2,15,7
2023-03,69,94,37,1,159,7
2023-04,33,89,29,3,104,5
2023-05,35,71,34,2,99,3
2023-06,24,68,23,3,132,6
2023-07,37,74,18,7,109,4
2023-08,44,84,19,6,123,9
2023-09,46,62,34,6,95,10
2023-10,21,49,44,3,102,6
2023-11,23,44,15,5,62,3
2023-12,3,27,17,2,13,4
2024-01,40,39,43,3,23,15
2024-02,35,41,43,1,9,4
2024-03,56,72,46,6,17,2
2024-04,34,41,31,3,16,4
2024-05,30,43,41,3,6,6
2024-06,39,44,29,4,15,0
2024-07,40,52,34,7,18,0
2024-08,64,106,46,4,11,3
2024-09,42,54,49,9,16,1
2024-10,26,50,53,3,12,6
2024-11,70,114,106,20,14,2
2024-12,28,34,52,2,13,1
