"기준년도","급여구분","건수","평균급여액","급여총액"
"2025","연금정산(퇴직)","2344","1915810","4490665540"
"2025","연금정산(유족)","782","1280300","1001196540"
"2025","퇴직연금일시금","1245","99661670","124078781050"
"2025","연금정산(분할)","124","4408670","546675960"
"2025","퇴직유족연금","153204","1755360","268928686780"
"2025","장해보상금","1","137691000","137691000"
"2025","분할연금","4336","1564730","6784694950"
"2025","퇴직일시금","17648","12498990","220582221730"
"2025","사망조위금","11010","3760710","41405434860"
"2025","직무상유족급여","1668","2056460","3430182820"
"2025","비직무상장해연금","72","1240190","89294160"
"2025","퇴직유족일시금","102","16464750","1679405460"
"2025","퇴직유족연금일시금","71","83320580","5915761560"
"2025","유족보상금","7","130765710","915360000"
"2025","장해유족연금","598","1358950","812657700"
"2025","재난부조금","4","21528000","86112000"
"2025","퇴직연금공제일시금","305","66779760","20367829570"
"2025","조기퇴직연금","30532","1976950","60360433110"
"2025","심리상담비","1","130000","130000"
"2025","청산일시금","2","38939760","77879520"
"2025","비직무상장해일시금","1","16683300","16683300"
"2025","퇴직유족연금특별부가금","113","17110650","1933503510"
"2025","퇴직수당","26348","27102510","714096971720"
"2025","퇴직유족연금부가금","149","24931020","3714723000"
"2025","퇴직연금","1325259","3284570","4352912583040"
"2025","장해연금","1460","1604830","2343052340"
"2025","간병비","114","1152680","131406000"
"2025","요양비","23329","114740","2676876950"
"2025","특수요양비","1003","1064990","1068185730"
"2025","유족없는급여","1","45532620","45532620"
