요청년월,신청구분코드,신청구분명,접수건수
2025-10-06,454,연금수급자정보변경,38
2025-11-06,454,연금수급자정보변경,37
2025-12-06,454,연금수급자정보변경,33
2025-01-07,454,연금수급자정보변경,44
2025-02-07,454,연금수급자정보변경,23
2025-03-07,454,연금수급자정보변경,31
2025-03-07,457,연금수급자신분변동,1
2025-04-07,454,연금수급자정보변경,16
2025-05-07,454,연금수급자정보변경,26
2025-06-07,454,연금수급자정보변경,22
2025-07-07,454,연금수급자정보변경,10
2025-08-07,454,연금수급자정보변경,13
2025-09-07,454,연금수급자정보변경,34
2025-10-07,454,연금수급자정보변경,12
2025-11-07,454,연금수급자정보변경,20
2025-12-07,454,연금수급자정보변경,16
2025-01-08,454,연금수급자정보변경,37
2025-01-08,457,연금수급자신분변동,1
2025-02-08,454,연금수급자정보변경,12
2025-03-08,454,연금수급자정보변경,44
2025-03-08,457,연금수급자신분변동,1
2025-04-08,454,연금수급자정보변경,25
2025-05-08,454,연금수급자정보변경,35
2025-06-08,454,연금수급자정보변경,22
2025-07-08,454,연금수급자정보변경,22
2025-08-08,454,연금수급자정보변경,17
2025-09-08,454,연금수급자정보변경,51
2025-10-08,454,연금수급자정보변경,25
2025-11-08,454,연금수급자정보변경,23
2025-12-08,454,연금수급자정보변경,18
2025-01-09,454,연금수급자정보변경,39
2025-02-09,454,연금수급자정보변경,26
2025-03-09,454,연금수급자정보변경,39
2025-04-09,454,연금수급자정보변경,26
2025-05-09,454,연금수급자정보변경,35
2025-06-09,454,연금수급자정보변경,26
2025-07-09,454,연금수급자정보변경,30
2025-08-09,454,연금수급자정보변경,22
2025-09-09,454,연금수급자정보변경,39
2025-10-09,454,연금수급자정보변경,19
2025-11-09,454,연금수급자정보변경,25
2025-12-09,454,연금수급자정보변경,53
2025-01-10,454,연금수급자정보변경,98
2025-01-10,457,연금수급자신분변동,1
2025-02-10,454,연금수급자정보변경,56
2025-03-10,454,연금수급자정보변경,113
2025-03-10,457,연금수급자신분변동,2
2025-04-10,454,연금수급자정보변경,50
2025-05-10,454,연금수급자정보변경,64
2025-06-10,454,연금수급자정보변경,43
2025-07-10,454,연금수급자정보변경,56
2025-07-10,459,연금수급증발급,12
2025-08-10,454,연금수급자정보변경,92
2025-08-10,459,연금수급증발급,63
2025-09-10,454,연금수급자정보변경,102
2025-09-10,459,연금수급증발급,56
2025-10-10,454,연금수급자정보변경,103
2025-10-10,457,연금수급자신분변동,1
2025-10-10,459,연금수급증발급,60
2025-11-10,454,연금수급자정보변경,72
2025-11-10,459,연금수급증발급,17
2025-12-10,454,연금수급자정보변경,212
2025-12-10,457,연금수급자신분변동,2
2025-12-10,459,연금수급증발급,19
2025-01-11,454,연금수급자정보변경,137
2025-01-11,457,연금수급자신분변동,2
2025-01-11,459,연금수급증발급,9
2025-02-11,454,연금수급자정보변경,126
2025-02-11,459,연금수급증발급,57
2025-03-11,454,연금수급자정보변경,182
2025-03-11,459,연금수급증발급,111
2025-04-11,454,연금수급자정보변경,113
2025-04-11,457,연금수급자신분변동,1
2025-04-11,459,연금수급증발급,109
2025-05-11,454,연금수급자정보변경,116
2025-05-11,457,연금수급자신분변동,1
2025-05-11,459,연금수급증발급,65
2025-06-11,454,연금수급자정보변경,78
2025-06-11,459,연금수급증발급,25
2025-07-11,454,연금수급자정보변경,86
2025-07-11,459,연금수급증발급,70
2025-08-11,454,연금수급자정보변경,94
2025-08-11,459,연금수급증발급,26
2025-09-11,454,연금수급자정보변경,147
2025-09-11,457,연금수급자신분변동,1
2025-09-11,459,연금수급증발급,135
2025-10-11,454,연금수급자정보변경,77
2025-10-11,457,연금수급자신분변동,1
2025-10-11,459,연금수급증발급,45
2025-11-11,454,연금수급자정보변경,80
2025-11-11,459,연금수급증발급,20
2025-12-11,454,연금수급자정보변경,137
2025-12-11,459,연금수급증발급,41
2025-01-12,454,연금수급자정보변경,139
2025-01-12,457,연금수급자신분변동,1
2025-01-12,459,연금수급증발급,23
2025-02-12,454,연금수급자정보변경,83
2025-02-12,457,연금수급자신분변동,2
2025-02-12,459,연금수급증발급,16
2025-03-12,454,연금수급자정보변경,135
2025-03-12,457,연금수급자신분변동,2
2025-03-12,459,연금수급증발급,49
2025-04-12,454,연금수급자정보변경,89
2025-04-12,459,연금수급증발급,47
2025-05-12,454,연금수급자정보변경,89
2025-05-12,459,연금수급증발급,37
2025-06-12,454,연금수급자정보변경,56
2025-06-12,459,연금수급증발급,15
2025-07-12,454,연금수급자정보변경,78
2025-07-12,459,연금수급증발급,10
2025-08-12,454,연금수급자정보변경,101
2025-08-12,459,연금수급증발급,8
2025-09-12,454,연금수급자정보변경,115
2025-09-12,457,연금수급자신분변동,1
2025-09-12,459,연금수급증발급,19
2025-10-12,454,연금수급자정보변경,69
2025-10-12,459,연금수급증발급,15
2025-11-12,454,연금수급자정보변경,368
