연령,교원 남성수급자수(명),교원 남성 1인당 평균연금월액(원),교원 여성 수급자수(명),교원 여성 1인당 평균연금월액(원),사무직원 남성수급자수(명),사무직원 남성 1인당 평균연금월액(원),사무직원 여성 수급자수(명),사무직원 여성 1인당 평균연금월액(원)
50미만,14,8080097 ,9,10042892 ,10,9432093 ,26,10075292 
51미만,3,14481880 ,2,8051965 ,6,10232800 ,4,13299510 
52미만,5,15218798 ,1,17706770 ,1,11872580 ,3,13077317 
53미만,1,4412270 ,2,11927115 ,2,21653675 ,14,17429408 
54미만,5,14001012 ,1,34387100 ,8,10882741 ,39,24235738 
55미만,5,9988848 ,5,16017338 ,10,23448791 ,62,29813912 
56미만,5,26606258 ,10,19607675 ,30,25297422 ,129,26711449 
57미만,33,17287645 ,47,18061378 ,87,25046512 ,211,27229303 
58미만,76,24807535 ,128,25557182 ,147,27318333 ,304,29927530 
59미만,168,27183774 ,245,29954825 ,215,30807356 ,357,32481002 
60미만,273,30931438 ,421,33993004 ,331,31513496 ,458,33910423 
61미만,474,32473454 ,438,35575260 ,426,30252231 ,448,32113643 
62미만,805,33272709 ,731,35275025 ,939,26668562 ,822,27797940 
63미만,1391,33495626 ,930,34323820 ,1078,32339974 ,878,33421527 
64미만,2454,34677482 ,1260,34118195 ,1106,35003793 ,914,33851720 
65미만,3307,43084424 ,1384,40113680 ,1207,35798429 ,876,33905375 
66미만,3918,40531177 ,1425,38715665 ,1276,36302436 ,730,34028689 
67미만,5157,37380572 ,1541,37520144 ,1339,36351126 ,646,33332258 
68미만,4461,45104149 ,1428,42085926 ,1311,36499028 ,533,32236572 
69미만,4246,46459832 ,1272,42774809 ,1239,36256224 ,449,31696803 
70미만,4390,47186740 ,1292,43487846 ,1310,36033505 ,378,31923156 
71미만,3826,48583823 ,1023,44061221 ,1188,35881385 ,322,30439517 
72미만,3970,48884839 ,1088,44477545 ,1031,38113510 ,281,32620278 
73미만,3307,49237725 ,790,44663226 ,835,36193795 ,247,32041951 
74미만,2874,49366826 ,701,44930108 ,707,36608968 ,171,33964800 
75미만,2681,48989848 ,571,44075993 ,757,35519307 ,195,32585807 
76미만,1662,48703766 ,316,44732669 ,465,34088744 ,112,31616555 
77미만,1644,49299871 ,369,45635331 ,518,34318717 ,113,31966453 
78미만,1631,49037143 ,329,44659193 ,517,34137031 ,137,30510204 
79미만,1577,48921986 ,308,44573639 ,489,34542482 ,106,28468451 
80미만,1653,49208745 ,275,45470889 ,517,34045130 ,92,27218991 
81미만,1372,49820709 ,243,44900259 ,415,34489591 ,61,28761994 
82미만,1215,49121424 ,207,44368616 ,363,34609243 ,57,29285024 
83미만,1128,49203377 ,167,44471943 ,321,32626560 ,31,28034414 
84미만,992,48403116 ,174,45066580 ,312,31672731 ,41,30001525 
85미만,1121,47223400 ,156,43250734 ,284,30662031 ,39,31686891 
86미만,984,46148594 ,137,42651011 ,216,30841243 ,29,34490116 
87미만,772,45579342 ,122,42278412 ,162,31249665 ,17,30988836 
88미만,658,45307119 ,90,42584899 ,141,31363295 ,11,32063334 
89미만,531,43522613 ,75,42868114 ,94,30436327 ,8,28586523 
90미만,443,43299122 ,72,42054716 ,80,29108340 ,10,31353194 
90이상,1372,39795213 ,176,38556292 ,216,31254592 ,24,28701178 
