기준년도,지역,퇴직사유,유치원,초등학교,중학교,고등학교,전문학교,대학교,특수학교,법인
2025,서울,의원일반퇴직,935.00,17.00,17.00,49.00,37.00,286.00,6.00,0.00
2025,서울,의원정년퇴직,12.00,4.00,71.00,240.00,58.00,775.00,9.00,0.00
2025,서울,의원명예퇴직,1.00,13.00,52.00,164.00,3.00,32.00,14.00,0.00
2025,서울,파면,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
2025,서울,사망,1.00,0.00,2.00,2.00,2.00,12.00,0.00,0.00
2025,서울,해임,0.00,1.00,0.00,1.00,0.00,14.00,0.00,0.00
2025,서울,당연,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00
2025,인천,의원일반퇴직,466.00,6.00,0.00,9.00,5.00,24.00,2.00,0.00
2025,인천,의원정년퇴직,5.00,0.00,3.00,59.00,13.00,48.00,1.00,0.00
2025,인천,의원명예퇴직,0.00,0.00,1.00,19.00,0.00,2.00,0.00,0.00
2025,인천,사망,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2025,인천,해임,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2025,인천,당연,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2025,경기,의원,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,경기,의원일반퇴직,1863.00,6.00,13.00,35.00,113.00,161.00,11.00,0.00
2025,경기,의원정년퇴직,17.00,0.00,30.00,115.00,156.00,282.00,16.00,0.00
2025,경기,의원명예퇴직,1.00,2.00,36.00,131.00,29.00,7.00,11.00,0.00
2025,경기,파면,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
2025,경기,사망,1.00,0.00,2.00,2.00,2.00,3.00,2.00,0.00
2025,경기,해임,0.00,0.00,0.00,2.00,0.00,7.00,1.00,0.00
2025,경기,당연,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
2025,강원,의원일반퇴직,116.00,0.00,1.00,5.00,13.00,70.00,1.00,0.00
2025,강원,의원정년퇴직,0.00,0.00,10.00,15.00,12.00,73.00,0.00,0.00
2025,강원,의원명예퇴직,0.00,0.00,3.00,12.00,4.00,3.00,0.00,0.00
2025,강원,사망,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00
2025,강원,해임,1.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00
2025,강원,당연,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
2025,충북,의원일반퇴직,129.00,0.00,4.00,13.00,9.00,48.00,1.00,0.00
2025,충북,의원정년퇴직,0.00,0.00,10.00,22.00,13.00,51.00,4.00,0.00
2025,충북,의원명예퇴직,0.00,0.00,8.00,12.00,4.00,3.00,6.00,0.00
2025,충북,사망,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
2025,충북,해임,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
2025,충북,당연,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2025,대전,의원일반퇴직,302.00,2.00,7.00,9.00,8.00,77.00,2.00,0.00
2025,대전,의원정년퇴직,4.00,1.00,11.00,30.00,30.00,106.00,1.00,0.00
2025,대전,의원명예퇴직,0.00,1.00,9.00,21.00,3.00,1.00,1.00,0.00
2025,대전,파면,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2025,대전,사망,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
2025,대전,해임,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2025,대전,당연,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
