연도,교원,직원,유치원교원남,유치원교원여,유치원직원남,유치원직원여,초등학교교원남,초등학교교원여,초등학교직원남,초등학교직원여,중학교교원남,중학교교원여,중학교직원남,중학교직원여,고등학교교원남,고등학교교원여,고등학교직원남,고등학교직원여,전문대학교원남,전문대학교원여,전문대학직원남,전문대학직원여,대학교교원남,대학교교원여,대학교직원남,대학교직원여,특수학교교원남,특수학교교원여,특수학교직원남,특수학교직원여,법인직원남,법인직원여
1977,3777,0,0,0,0,0,85,0,0,0,1748,0,0,0,1711,0,0,0,34,0,0,0,199,0,0,0,0,0,0,0,0,0
1978,5349,2752,0,0,0,0,101,0,0,0,2380,0,0,0,2558,0,0,0,89,0,0,0,221,0,0,0,0,0,0,0,0,0
1979,5581,3470,0,0,0,0,116,0,0,0,2449,0,0,0,2644,0,0,0,201,0,0,0,171,0,0,0,0,0,0,0,0,0
1980,5922,3257,0,0,0,0,140,0,0,0,2503,0,0,0,2654,0,0,0,286,0,0,0,339,0,0,0,0,0,0,0,0,0
1981,5897,3524,0,0,0,0,189,0,0,0,2302,0,0,0,2807,0,0,0,257,0,0,0,342,0,0,0,0,0,0,0,0,0
1982,5816,3819,0,0,0,0,172,0,0,0,2099,0,0,0,2937,0,0,0,265,0,0,0,343,0,0,0,0,0,0,0,0,0
1983,5425,4409,0,0,0,0,167,0,0,0,1828,0,0,0,2689,0,0,0,361,0,0,0,380,0,0,0,0,0,0,0,0,0
1984,4939,4483,0,0,0,0,184,0,0,0,1529,0,0,0,2472,0,0,0,329,0,0,0,425,0,0,0,0,0,0,0,0,0
1985,4926,4726,0,0,0,0,173,0,0,0,1423,0,0,0,2421,0,0,0,264,0,0,0,645,0,0,0,0,0,0,0,0,0
1986,4620,4500,0,0,0,0,261,0,0,0,1233,0,0,0,1993,0,0,0,333,0,0,0,800,0,0,0,0,0,0,0,0,0
1987,4344,4400,0,0,0,0,260,0,0,0,1107,0,0,0,1746,0,0,0,334,0,0,0,897,0,0,0,0,0,0,0,0,0
1988,4197,4267,0,0,0,0,260,0,0,0,933,0,0,0,1721,0,0,0,315,0,0,0,968,0,0,0,0,0,0,0,0,0
1989,4555,4731,0,0,0,0,223,0,0,0,897,0,0,0,2097,0,0,0,300,0,0,0,1038,0,0,0,0,0,0,0,0,0
1990,4493,4263,0,0,0,0,326,0,0,0,913,0,0,0,1771,0,0,0,337,0,0,0,1146,0,0,0,0,0,0,0,0,0
1991,4238,4655,0,0,0,0,301,0,0,0,750,0,0,0,1606,0,0,0,401,0,0,0,1180,0,0,0,0,0,0,0,0,0
1992,4702,4745,0,0,0,0,303,0,0,0,829,0,0,0,1741,0,0,0,452,0,0,0,1377,0,0,0,0,0,0,0,0,0
1993,4605,4779,157,0,20,0,84,0,45,0,756,0,262,0,1546,0,685,0,551,0,259,0,1434,0,3297,0,77,0,76,0,135,0
1994,6420,5586,216,0,28,0,139,0,46,0,990,0,289,0,2205,0,694,0,790,0,367,0,2004,0,3938,0,76,0,82,0,142,0
1995,5311,5399,0,236,20,21,63,48,28,22,566,287,197,74,1115,570,467,204,303,410,188,146,883,752,822,3027,28,50,26,46,66,45
1996,5634,5816,2,448,20,24,57,38,19,28,504,273,196,74,1010,492,511,220,312,540,176,156,999,899,916,3277,20,40,29,48,83,39
1997,6091,6276,1,654,30,32,62,51,38,35,559,233,164,85,949,369,465,192,400,574,199,137,1110,1025,1676,3002,45,59,43,60,87,31
1998,7404,6664,2,1147,32,28,68,45,37,24,803,236,218,56,1249,394,529,171,443,595,360,225,1251,1100,2490,2295,28,43,38,46,93,22
1999,12045,8039,3,1298,44,58,157,108,36,26,1878,433,422,75,2982,643,778,185,533,784,357,223,1545,1475,2886,2711,92,114,63,50,97,28
2000,11797,8275,11,2166,65,69,99,84,44,38,907,365,201,90,1877,598,504,213,709,890,304,171,1959,1874,2780,3583,112,146,32,57,91,33
2001,9881,7838,3,2268,55,77,77,74,26,29,288,159,194,80,741,368,420,180,677,795,249,133,2201,2083,2943,3274,46,101,39,56,55,28
2002,11380,7660,15,2653,63,88,52,41,27,22,331,149,146,46,941,352,391,132,787,972,267,136,2383,2600,2926,3259,40,64,34,28,77,18
2003,11964,7802,16,2959,75,129,59,46,30,20,350,149,122,37,836,273,344,123,848,1093,255,134,2521,2727,2862,3497,39,48,40,48,59,27
2004,12290,7117,14,3025,73,94,61,42,17,12,455,182,140,32,866,251,334,103,854,1115,292,143,2389,2946,2760,2952,39,51,34,29,81,21
2005,13110,7413,13,3460,80,143,40,44,19,15,349,128,127,28,914,218,310,84,785,1087,257,105,2543,3415,2808,3289,49,65,40,34,51,23
2006,14256,7673,21,3943,85,145,48,53,17,16,401,132,132,34,899,282,293,85,784,1189,218,85,2587,3811,2837,3579,34,72,36,26,62,23
2007,16045,8558,21,4385,122,185,54,44,22,22,550,214,136,36,1320,320,312,96,761,1230,196,94,2864,4185,2826,4381,31,66,34,27,52,17
2008,17388,8868,28,4903,106,218,45,66,15,18,616,220,111,30,1354,423,293,72,802,1228,197,88,2883,4735,2992,4581,32,53,45,25,57,20
2009,17362,8023,44,5040,107,244,48,56,12,14,415,168,73,21,1028,320,262,70,783,1204,201,99,3116,5077,2781,4023,26,37,16,14,64,22
